area_type,location,size,total_sqft,bath,balcony,price,bed_bath,price_per_sqft
Super built-up  Area,Green View Layout,2,1007.0,2,2,43.0,344.0,4270.109
Super built-up  Area,Shantiniketan Layout,2,1200.0,2,2,50.0,344.0,4166.667
Super built-up  Area,Peenya,2,966.0,2,2,49.9,344.0,5165.631
Built-up  Area,Nagarbhavi,3,1630.0,2,1,98.0,476.0,6012.27
Built-up  Area,Jalahalli West,2,782.0,2,2,55.68,344.0,7120.205
Super built-up  Area,Devanahalli,2,1260.0,2,2,66.78,344.0,5300.0
Super built-up  Area,Lakshmiamma Garden,3,1800.0,3,3,120.0,516.0,6666.667
Super built-up  Area,Byatarayanapura,3,1413.0,2,2,75.0,476.0,5307.856
Super built-up  Area,Whitefield,2,1116.0,2,1,51.91,344.0,4651.434
Super built-up  Area,Electronic City,3,1530.0,2,1,45.9,476.0,3000.0
Built-up  Area,Ramamurthy Nagar,4,3700.0,4,1,225.0,688.0,6081.081
Built-up  Area,Sarjapur  Road,3,2497.0,3,2,140.0,516.0,5606.728
Super built-up  Area,Kengeri,3,1540.0,2,3,64.0,476.0,4155.844
Super built-up  Area,Thanisandra,3,1436.0,3,1,74.75,516.0,5205.432
Super built-up  Area,Malleshwaram,2,1100.0,2,2,75.0,344.0,6818.182
Super built-up  Area,Thanisandra,3,1427.0,3,2,120.0,516.0,8409.25
Super built-up  Area,Akshaya Nagar,3,2061.0,3,1,200.0,516.0,9704.027
Built-up  Area,Shampura,4,2650.0,4,2,150.0,688.0,5660.377
Super built-up  Area,Devanahalli,3,1282.0,2,2,68.52,476.0,5344.774
Built-up  Area,Kadugodi,2,1050.0,2,1,34.0,344.0,3238.095
Built-up  Area,LB Shastri Nagar,3,1600.0,3,2,65.0,516.0,4062.5
Super built-up  Area,Vajarahalli,2,945.0,2,1,54.0,344.0,5714.286
Super built-up  Area,Hormavu,2,1500.0,2,1,78.0,344.0,5200.0
Built-up  Area,Peenya,3,1870.0,3,3,110.0,516.0,5882.353
Plot  Area,Sarjapur,3,1600.0,3,1,75.0,516.0,4687.5
Super built-up  Area,Kudlu Gate,3,1535.0,3,2,83.0,516.0,5407.166
Built-up  Area,Kanakpura Road,2,950.0,2,1,57.0,344.0,6000.0
Super built-up  Area,Devanahalli,2,1360.0,2,1,65.0,344.0,4779.412
Super built-up  Area,8th Phase JP Nagar,2,1073.5,2,0,54.005,344.0,5030.741
Super built-up  Area,Bommasandra Industrial Area,3,1280.0,3,1,50.4,516.0,3937.5
Super built-up  Area,Chandra Layout,3,1260.0,2,2,85.05,476.0,6750.0
Super built-up  Area,Yelahanka,5,3050.0,5,1,213.0,860.0,6983.607
Super built-up  Area,Kasavanhalli,3,1563.05,3,1,105.0,516.0,6717.635
Super built-up  Area,ISRO Layout,2,1000.0,2,1,60.0,344.0,6000.0
Super built-up  Area,Anandapura,2,1167.0,2,1,43.76,344.0,3749.786
Super built-up  Area,Kengeri Satellite Town,2,890.0,2,1,35.0,344.0,3932.584
Super built-up  Area,Basavanapura,3,1612.0,3,3,46.74,516.0,2899.504
Super built-up  Area,Mysore Road,3,1710.0,4,2,91.31,556.0,5339.766
Super built-up  Area,Kannamangala,2,957.0,2,1,58.0,344.0,6060.606
Super built-up  Area, Devarachikkanahalli,3,1250.0,2,3,44.0,476.0,3520.0
Super built-up  Area,Hulimavu,2,1125.0,2,2,50.0,344.0,4444.444
Super built-up  Area,Electronic City Phase II,2,1020.0,2,1,30.6,344.0,3000.0
Super built-up  Area,Kalena Agrahara,2,1200.0,2,2,50.0,344.0,4166.667
Super built-up  Area,Thanisandra,3,1735.0,3,3,135.0,516.0,7780.98
Super built-up  Area,Thanisandra,3,2050.0,3,1,145.0,516.0,7073.171
Built-up  Area,Yarandahalli,3,1350.0,2,3,48.0,476.0,3555.556
Super built-up  Area,Hosa Road,2,1063.0,2,1,32.0,344.0,3010.348
Super built-up  Area,Keshava Nagar,3,1904.0,3,1,150.0,516.0,7878.151
Built-up  Area,Whitefield,4,4200.0,4,2,420.0,688.0,10000.0
Super built-up  Area,RMV Extension,3,2000.0,3,1,175.0,516.0,8750.0
Super built-up  Area,Sarjapur,2,1242.5,2,0,43.49,344.0,3500.201
Super built-up  Area,Tejaswini Nagar,3,1425.0,2,2,75.0,476.0,5263.158
Super built-up  Area,Electronic City,3,1500.0,2,1,64.5,476.0,4300.0
Built-up  Area,Electronic City,2,1060.0,2,1,60.0,344.0,5660.377
Built-up  Area,Jai Bheema Nagar,3,1470.0,2,2,70.0,476.0,4761.905
Super built-up  Area,Attibele,1,450.0,1,1,11.0,172.0,2444.444
Super built-up  Area,Electronic City,2,1152.0,2,1,64.5,344.0,5598.958
Super built-up  Area,Electronic City,3,1350.0,2,1,56.0,476.0,4148.148
Super built-up  Area,CV Raman Nagar,3,1550.0,3,3,65.0,516.0,4193.548
Plot  Area,CHIKKATIRUPATHI,3,1500.0,3,2,100.0,516.0,6666.667
Plot  Area,Nagavara,1,400.0,1,0,14.0,172.0,3500.0
Super built-up  Area,Malleshwaram,1,705.0,1,2,67.0,172.0,9503.546
Built-up  Area,Electronic City,2,770.0,1,1,36.0,304.0,4675.325
Super built-up  Area,Hulimavu,2,1242.0,2,3,51.0,344.0,4106.28
Super built-up  Area,Hebbal Kempapura,3,1700.0,3,2,155.0,516.0,9117.647
Super built-up  Area,Thanisandra,3,2144.0,3,2,145.0,516.0,6763.06
Super built-up  Area,Vijayanagar,3,1704.0,3,2,110.0,516.0,6455.399
Super built-up  Area,Electronic City,2,1070.0,2,1,52.0,344.0,4859.813
Super built-up  Area,Jakkuru Layout,2,1340.0,2,2,55.7,344.0,4156.716
Built-up  Area,Electronic City,2,1025.0,2,1,46.0,344.0,4487.805
Super built-up  Area,KR Puram,2,1277.5,2,0,56.8,344.0,4446.184
Super built-up  Area,Marathahalli,2,1200.0,2,2,52.0,344.0,4333.333
Built-up  Area,Kanakpura Road,4,2250.0,4,1,110.0,688.0,4888.889
Super built-up  Area,Pattandur Agrahara,3,1550.0,2,3,80.0,476.0,5161.29
Super built-up  Area,Marathahalli,2,1200.0,2,2,60.0,344.0,5000.0
Super built-up  Area,Yelahanka,2,1327.0,2,2,98.0,344.0,7385.079
Super built-up  Area,Kothanur,2,1186.0,2,2,58.0,344.0,4890.388
Built-up  Area,MS Pallya,3,1783.0,3,1,115.0,516.0,6449.804
Super built-up  Area,HSR Layout,3,1400.0,3,2,56.0,516.0,4000.0
Super built-up  Area,Nagasandra,2,980.0,2,1,48.0,344.0,4897.959
Super built-up  Area,EPIP Zone,2,1285.0,2,2,82.0,344.0,6381.323
Super built-up  Area,Langford Town,3,912.0,2,1,70.0,476.0,7675.439
Built-up  Area,Whitefield,2,1225.0,2,2,47.6,344.0,3885.714
Super built-up  Area,Whitefield,2,1075.0,2,1,53.0,344.0,4930.233
Built-up  Area,Kadugodi,3,1260.0,2,2,54.0,476.0,4285.714
Super built-up  Area,Yelahanka,3,1282.0,2,2,48.7,476.0,3798.752
Super built-up  Area,Kogilu,3,1909.0,3,2,88.0,516.0,4609.743
Super built-up  Area,Panathur,2,1359.0,2,1,87.0,344.0,6401.766
Built-up  Area,Nagondanahalli,2,1207.0,2,2,43.5,344.0,3603.977
Super built-up  Area,Kammasandra,3,1595.0,3,2,65.0,516.0,4075.235
Built-up  Area,"Off Sarjapur Road, ",3,1798.0,3,2,89.0,516.0,4949.944
Super built-up  Area,Electronics City Phase 1,3,1475.0,3,2,78.29,516.0,5307.797
Super built-up  Area,Tala Cauvery Layout,3,1580.0,3,3,100.0,516.0,6329.114
Super built-up  Area,Dasarahalli,2,1295.0,2,1,65.0,344.0,5019.305
Super built-up  Area,Electronic City,1,589.0,1,1,27.0,172.0,4584.041
Super built-up  Area,Ngef Layout,3,1415.0,3,3,78.0,516.0,5512.367
Super built-up  Area,Sarjapur  Road,3,1787.0,3,2,98.29,516.0,5500.28
Super built-up  Area,Sarjapur  Road,3,1787.0,3,2,125.0,516.0,6994.964
Super built-up  Area,Koramangala,3,1475.0,2,3,90.0,476.0,6101.695
Built-up  Area,"Lakshminarayanapura, Electronic City Phase 2",4,2000.0,4,1,75.5,688.0,3775.0
Super built-up  Area,Sarjapur  Road,2,984.0,2,1,44.28,344.0,4500.0
Built-up  Area,7th Phase JP Nagar,2,1080.0,2,2,72.0,344.0,6666.667
Plot  Area,Shantiniketan Layout,2,1500.0,2,1,115.0,344.0,7666.667
Super built-up  Area,Hebbal,3,1900.0,3,2,119.0,516.0,6263.158
Super built-up  Area,Dommasandra,2,805.0,2,1,22.14,344.0,2750.311
Super built-up  Area,Budigere,2,1153.0,2,2,56.4,344.0,4891.587
Super built-up  Area,Dodda Nekkundi Extension,2,1148.0,2,2,60.0,344.0,5226.481
Super built-up  Area,Mylasandra,2,1110.0,2,2,55.0,344.0,4954.955
Built-up  Area,Electronic City,2,1100.0,2,2,42.0,344.0,3818.182
Super built-up  Area,Kalyan nagar,2,1290.0,2,2,110.0,344.0,8527.132
Super built-up  Area,Dr Shivarama Karantha Nagar,3,1500.0,2,1,65.0,476.0,4333.333
Super built-up  Area,Bank Of Baroda Colony,2,1080.0,2,2,39.0,344.0,3611.111
Super built-up  Area,Vijayanagar,3,1933.0,3,1,129.0,516.0,6673.564
Built-up  Area,Ramamurthy Nagar,5,3500.0,5,2,150.0,860.0,4285.714
Built-up  Area,Kullappa Colony,2,1060.0,2,2,60.0,344.0,5660.377
Super built-up  Area,Chandapura,1,645.0,1,1,16.45,172.0,2550.388
Super built-up  Area,Chandapura,1,645.0,1,1,16.45,172.0,2550.388
Super built-up  Area,Ashwath Nagar,3,1644.0,3,3,84.0,516.0,5109.489
Super built-up  Area,Ncpr Industrial Layout,2,1285.0,2,3,72.5,344.0,5642.023
Plot  Area,Electronic City,3,1200.0,3,1,90.0,516.0,7500.0
Super built-up  Area,Electronic City,2,910.0,2,1,40.0,344.0,4395.604
Super built-up  Area,Kothanur,3,1577.0,3,1,70.0,516.0,4438.808
Plot  Area,Meenakunte,3,4050.0,3,2,280.0,516.0,6913.58
Super built-up  Area,OMBR Layout,3,2420.0,3,2,185.0,516.0,7644.628
Super built-up  Area,Chandapura,2,800.0,1,1,20.0,304.0,2500.0
Built-up  Area,Anand Nagar,2,1060.0,2,2,55.0,344.0,5188.679
Super built-up  Area,7th Phase JP Nagar,2,1270.0,2,2,93.0,344.0,7322.835
Super built-up  Area,Shree Ananth Nagar Layout,2,900.0,2,2,22.5,344.0,2500.0
Built-up  Area,Kundalahalli Colony,2,1280.0,2,1,69.0,344.0,5390.625
Plot  Area,Horamavu Agara,4,1200.0,2,0,95.0,608.0,7916.667
Built-up  Area,Sarjapur  Road,2,1025.0,2,2,36.0,344.0,3512.195
Super built-up  Area,Electronic City,2,1108.0,2,1,63.0,344.0,5685.921
Super built-up  Area,Coffee Board Layout,3,3045.0,3,2,170.0,516.0,5582.923
Super built-up  Area,Vijayanagar,3,1500.0,3,2,75.5,516.0,5033.333
Super built-up  Area,Raja Rajeshwari Nagar,2,1295.0,2,2,43.9,344.0,3389.961
Super built-up  Area,Budigere,2,1162.0,2,1,59.9,344.0,5154.905
Super built-up  Area,Sarjapur  Road,2,1035.0,2,2,49.2,344.0,4753.623
Built-up  Area,Attibele,4,1600.0,4,0,52.8,688.0,3300.0
Super built-up  Area,KUDLU MAIN ROAD,3,1464.0,3,2,46.0,516.0,3142.077
Super built-up  Area,Hennur Road,3,1866.0,2,2,61.58,476.0,3300.107
Super built-up  Area,Geleyara Balaga Layout,2,700.0,1,1,26.0,304.0,3714.286
Super built-up  Area,Kalena Agrahara,3,1804.0,3,2,120.0,516.0,6651.885
Super built-up  Area,Sarjapur,2,913.0,2,1,32.0,344.0,3504.929
Super built-up  Area,Talaghattapura,3,1868.0,3,2,131.0,516.0,7012.848
Built-up  Area,Kengeri Satellite Town,2,883.0,2,1,45.0,344.0,5096.263
Super built-up  Area,Kogilu,3,1664.0,2,3,73.95,476.0,4444.111
Super built-up  Area,Hegde Nagar,3,2026.0,3,2,132.0,516.0,6515.301
Super built-up  Area,Balagere,2,1210.0,2,1,80.9,344.0,6685.95
Plot  Area,Meenakunte,4,4111.0,4,2,250.0,688.0,6081.245
Super built-up  Area,Kadugodi,3,1762.0,3,3,91.45,516.0,5190.125
Super built-up  Area,Jigani,3,1252.0,3,3,55.0,516.0,4392.971
Built-up  Area,Gollarapalya Hosahalli,2,861.0,2,1,34.5,344.0,4006.969
Built-up  Area,7th Phase JP Nagar,3,1420.0,2,1,100.0,476.0,7042.254
Built-up  Area,Electronics City Phase 1,3,1490.0,3,1,78.8,516.0,5288.591
Super built-up  Area,Bisuvanahalli,3,1075.0,2,1,46.0,476.0,4279.07
Super built-up  Area,Old Madras Road,3,1425.0,2,2,94.0,476.0,6596.491
Built-up  Area,Kalena Agrahara,2,1200.0,2,1,40.0,344.0,3333.333
Super built-up  Area,Kaggadasapura,3,1280.0,2,2,56.0,476.0,4375.0
Super built-up  Area,Silver Springs Layout,2,1084.0,2,2,50.0,344.0,4612.546
Super built-up  Area,Chandapura,2,1015.0,2,2,25.88,344.0,2549.754
Super built-up  Area,Kanakpura Road,2,1017.0,2,1,51.25,344.0,5039.331
Super built-up  Area,Haralur Road,2,1027.0,2,2,44.0,344.0,4284.323
Super built-up  Area,Electronic City Phase II,2,1069.0,2,2,45.0,344.0,4209.542
Super built-up  Area,Hebbal,2,1349.0,2,1,98.2,344.0,7279.466
Super built-up  Area,9th Phase JP Nagar,2,1005.0,2,1,50.0,344.0,4975.124
Super built-up  Area,Jakkur,2,1417.0,2,3,75.0,344.0,5292.872
Plot  Area,TC Palaya,3,1475.0,3,1,98.0,516.0,6644.068
Carpet  Area,Maruthi Sevanagar,2,950.0,2,2,47.0,344.0,4947.368
Super built-up  Area,RMV 2nd Stage,4,2000.0,4,0,120.0,688.0,6000.0
Super built-up  Area,Sarjapur  Road,4,1863.0,3,2,104.0,648.0,5582.394
Super built-up  Area,Singasandra,2,1010.0,2,1,29.5,344.0,2920.792
Super built-up  Area,Kalena Agrahara,3,1425.0,2,1,70.0,476.0,4912.281
Super built-up  Area,Vijayanagar,3,1450.0,3,0,100.0,516.0,6896.552
Super built-up  Area,Kothanur,3,1847.0,3,2,105.0,516.0,5684.894
Super built-up  Area,AECS Layout,2,1100.0,2,3,45.0,344.0,4090.909
Super built-up  Area,Kanakpura Road,1,525.0,1,1,26.0,172.0,4952.381
Super built-up  Area,Mallasandra,3,1665.0,3,2,95.0,516.0,5705.706
Super built-up  Area,Begur,4,1664.0,4,3,65.0,688.0,3906.25
Super built-up  Area,JP Nagar,3,1850.0,3,3,150.0,516.0,8108.108
Super built-up  Area,Panathur,2,1438.0,2,3,100.0,344.0,6954.103
Super built-up  Area,Sunder Ram Shetty Nagar,3,1560.0,3,3,115.0,516.0,7371.795
Super built-up  Area,Yelahanka,2,1350.0,2,1,55.55,344.0,4114.815
Super built-up  Area,Kanakpura Road,3,1550.0,3,3,67.0,516.0,4322.581
Super built-up  Area,Malleshpalya,2,1140.0,2,2,46.5,344.0,4078.947
Super built-up  Area,Kodathi,2,850.0,2,2,27.0,344.0,3176.471
Super built-up  Area,Whitefield,2,1280.0,2,2,75.0,344.0,5859.375
Built-up  Area,Munnekollal,2,1170.0,2,2,52.0,344.0,4444.444
Super built-up  Area,Motappa Layout,2,1113.0,2,1,51.0,344.0,4582.21
Super built-up  Area,Hennur Road,2,1385.0,2,1,83.09,344.0,5999.278
Super built-up  Area,Electronic City,2,1128.0,2,1,65.0,344.0,5762.411
Super built-up  Area,Haralur Road,3,1464.0,3,2,56.0,516.0,3825.137
Super built-up  Area,Manayata Tech Park,2,1200.0,2,2,55.0,344.0,4583.333
Super built-up  Area,Kaval Byrasandra,2,1200.0,2,2,52.0,344.0,4333.333
Super built-up  Area,Kaggalipura,3,1150.0,2,1,55.0,476.0,4782.609
Built-up  Area,Basavanna Nagar,3,1645.0,3,2,95.0,516.0,5775.076
Super built-up  Area,Sarjapur  Road,2,1000.0,2,1,67.0,344.0,6700.0
Plot  Area,Haralur Road,4,2650.0,4,2,198.0,688.0,7471.698
Super built-up  Area,6th Phase JP Nagar,2,1192.0,2,2,74.0,344.0,6208.054
Super built-up  Area,Ulsoor,3,2135.0,3,2,215.0,516.0,10070.258
Super built-up  Area,Whitefield,2,1173.0,2,1,58.0,344.0,4944.587
Built-up  Area,Uttarahalli,2,1020.0,2,2,45.0,344.0,4411.765
Super built-up  Area,Somasundara Palya,3,1600.0,3,3,64.0,516.0,4000.0
Plot  Area,T.C PALYA,2,1200.0,2,0,79.0,344.0,6583.333
Carpet  Area,Muneshwara Nagar,2,1230.0,2,3,48.0,344.0,3902.439
Super built-up  Area, Devarachikkanahalli,2,1250.0,2,2,40.0,344.0,3200.0
Super built-up  Area,Kalena Agrahara,2,1325.0,2,2,76.0,344.0,5735.849
Built-up  Area,7th Phase JP Nagar,3,1850.0,3,1,150.0,516.0,8108.108
Super built-up  Area,Basaveshwara Nagar,2,1200.0,2,2,65.0,344.0,5416.667
Super built-up  Area,Bommasandra,3,1260.0,3,1,49.36,516.0,3917.46
Super built-up  Area,Prashanth Nagar,3,1800.0,3,0,150.0,516.0,8333.333
Built-up  Area,Ardendale,2,1100.0,2,1,43.25,344.0,3931.818
Super built-up  Area,Harlur,2,1508.0,2,1,77.0,344.0,5106.101
Carpet  Area,Sampigehalli,3,1592.0,3,2,75.0,516.0,4711.055
Super built-up  Area,Akshaya Nagar,2,1388.0,2,3,57.0,344.0,4106.628
Super built-up  Area,Electronic City Phase II,1,630.0,1,1,28.35,172.0,4500.0
Super built-up  Area,Banashankari3rd stage bigbazar,3,1762.0,3,1,125.0,516.0,7094.211
Super built-up  Area,Bagalur Main Road,2,950.0,2,2,50.0,344.0,5263.158
Super built-up  Area,Magadi Road,2,1116.0,2,1,50.0,344.0,4480.287
Super built-up  Area,Narayanapura,2,1308.0,2,2,89.04,344.0,6807.339
Super built-up  Area,MS Pallya,3,1200.0,3,0,90.0,516.0,7500.0
Built-up  Area,Bannerghatta Road,1,500.0,1,1,18.5,172.0,3700.0
Super built-up  Area,Hennur,2,1075.0,2,1,52.0,344.0,4837.209
Built-up  Area,Bellandur,2,1205.0,2,3,66.0,344.0,5477.178
Super built-up  Area,5th Phase JP Nagar,2,1075.0,2,2,60.0,344.0,5581.395
Built-up  Area,KR Puram,2,930.0,2,2,39.0,344.0,4193.548
Super built-up  Area,Balagere,2,1380.0,2,1,60.0,344.0,4347.826
Super built-up  Area,Hebbal,4,2483.0,5,2,212.0,728.0,8538.059
Built-up  Area,Kodigehaali,2,1166.0,2,2,55.0,344.0,4716.981
Super built-up  Area,Bannerghatta Road,2,1050.0,2,1,65.0,344.0,6190.476
Super built-up  Area,Begur Road,2,1200.0,2,2,46.8,344.0,3900.0
Super built-up  Area,Lakshminarayana Pura,3,1600.0,2,1,108.0,476.0,6750.0
Super built-up  Area,Billekahalli,3,1935.0,3,2,110.0,516.0,5684.755
Super built-up  Area,8th Phase JP Nagar,1,451.0,1,0,29.9,172.0,6629.712
Super built-up  Area,Electronic City,3,1800.0,3,2,95.0,516.0,5277.778
Super built-up  Area,Jalahalli,3,1400.0,3,0,77.0,516.0,5500.0
Super built-up  Area,Hegde Nagar,3,1801.0,3,2,115.0,516.0,6385.341
Plot  Area,Anekal,2,1200.0,1,1,36.0,304.0,3000.0
Super built-up  Area,Begur Road,2,1160.0,2,2,44.0,344.0,3793.103
Built-up  Area,Kengeri,2,1000.0,2,1,25.0,344.0,2500.0
Super built-up  Area,Kanakpura Road,2,950.0,2,1,40.0,344.0,4210.526
Built-up  Area,"Hoodi Circle, ",3,1629.0,3,2,79.0,516.0,4849.601
Built-up  Area,Vijayanagar,3,1580.0,2,0,134.0,476.0,8481.013
Super built-up  Area,Vijayanagar,3,1826.0,3,2,121.0,516.0,6626.506
Built-up  Area,7th Phase JP Nagar,2,1245.0,2,1,94.0,344.0,7550.201
Super built-up  Area,Raja Rajeshwari Nagar,2,1145.0,2,2,45.79,344.0,3999.127
Super built-up  Area,Sompura,2,825.0,2,1,33.0,344.0,4000.0
Super built-up  Area,Yeshwanthpur,3,1693.0,3,3,108.0,516.0,6379.209
Super built-up  Area,Electronics City Phase 1,2,1113.27,2,2,53.0,344.0,4760.75
Built-up  Area,Ashirvad Colony,2,1460.0,2,1,58.0,344.0,3972.603
Built-up  Area,Doddathoguru,2,1050.0,2,1,32.0,344.0,3047.619
Built-up  Area,Dodda Nekkundi,2,1260.0,2,2,55.0,344.0,4365.079
Built-up  Area,Hosur Road,2,1656.0,2,1,120.0,344.0,7246.377
Super built-up  Area,Chandapura,3,1208.0,3,1,45.0,516.0,3725.166
Super built-up  Area,Whitefield,3,1910.0,3,2,161.0,516.0,8429.319
Super built-up  Area,Whitefield,4,3252.0,4,1,230.0,688.0,7072.571
Plot  Area,Battarahalli,2,1200.0,2,1,65.0,344.0,5416.667
Super built-up  Area,7th Phase JP Nagar,2,1175.0,2,1,82.0,344.0,6978.723
Super built-up  Area,Kengeri,1,370.923994,1,0,18.5,172.0,4987.545
